,Review Text,labels
108,"I like the play zone for my little one, I wish their food quality (taste) and quantity should be improved",Positive
109,Worst service ever. I had the worst pizza ever and their price is more than too much.�,Negative
110,The ongoing buy 1 get one free is a very good offer. This place serves up to the standard Korean style chicken items along with some more good stuff. Highly recommend for chicken lovers.,Positive
111,Love this place .Very nice environment and people.They got some of my favorites so this is my most recommended restaurant...,Positive
112,Only one problem . quantity is not sufficient .,Negative
113,Review! Service 100 % (waiter sumit) Food 95 % Excellent experience @bbq.bangladesh Gulshan 2.,Positive
114,"There food is good, I especially liked the fried rice alot.",Positive
115,Great service! Great food!,Positive
116,"aj k bbq dhanmondi te giyesilam,jamaican whole chicken order kore waiter k bolesilam jate well cooked kore dei, but na... ta koreni,breast er part gula well cooked silona!then half takeaway kore niye ashsi..!! tast:5/10",Negative
117,Food quality ager theke onek baje... Service thik asche.. I think food quality next time valo hobe #bbq_gulshan,Positive
118,it was good..but tooo spicy for me....,Positive
119,No flavor in the overtly expensive chicken. Better to go to the much cheaper kfc or a local chicken joint,Negative
120,Good Food � & Great Service. Been coming here for years & the best thing is that they are consistent in their food quality & service :),Positive
121,They serve the best chicken in town! Happy with the service and the food,Positive
122,দাম একটু বেশি.. খাবার অনেক জোশ! স্টাফদের ব্যবহার বেশ ভাল। আবারও খাওয়ার ইচ্ছে আছে।,Positive
123,They serve very small quantities in Uttara branch. They serve 5 time smaller than their Advertisement pic.,Negative
124,The food was very bad nd quality nd quantity was very less.,Negative
125,"Amazing ambience, loved the smoking zone. Food was also amazing served in due time.",Positive
126,Didn't like any of their food at all. Menu full of pages but very little on quality. Don't think would go back again.,Negative
127,"দারুন খাবার, তবে নুন টা বড্ডো কম ছিলো !!",Negative
128,Best service,Positive
129,Verynice hengout Very alright food and service Spectacular IshMin,Negative
130,price is too much,Negative
131,Food so good and place meant And restaurant andvierment,Positive
132,Warm Wishes for your good hospitality but price is high....,Negative
133,"i have visited twice i liked the place for service, decoration, food. price is little expensive. need another branch in mirpur area.",Positive
134,Quality food � awesome � environment best service,Positive
135,tader chicken item onk tasty but problem holo amak inbox a bolar por din e amra 13jon giyechilm. kintu tara bollo offer ti naki 2din agei meyad sesh.aita khub e dissatisfaction chilo.ora nijerai surena oder offer er time niye .otherwise shob okay chilo.,Negative
136,Worst food ever in my life...eat at your own risk ..,Negative
137,I loved it,Positive
138,Worst experience ever!!! I would request everyone not to waste money on such places.,Negative
139,On of the worst food i tried in my life. Total waste of money.,Negative
140,nice,Positive
141,Awesome :D,Positive
142,Not better in posh location. Employees need more training with smile,Negative
143,"impressive service and food quality,Keep growing with quality.",Positive
144,"Chicken tastes great, so delicious, love their chicken items",Positive
145,Very poor service and the soup was far too creamy.��,Negative
146,Excellent food 🥘 😊 very good customer service 😊,Positive
147,�,Positive
148,��,Negative
149,>:(,Negative
150,Loved the food !!............................................,Positive
151,I found food quality has dropped in last 2 visits.,Negative
152,Tasteless food and worst service ever😏,Negative
153,"Grill was cold, bread was dry and hard, stock was stale... very poor quality food... disappointed...",Negative
154,Buy 1 get 1 free is a good offer as per food quality and taste...,Positive
155,Worst food in respect of taste and price I have ever tried in any restaurant.,Negative
156,"Well for lunch they have a round big bun type bread where in the middle there are empty space which is filled with thick soup nd they also give 4 small bread piece. Enough nd healthy food for quick lunch nd u can drained it with a juice or drink. For dinner, of course the Jamacian chicken is good but they should take care they do not serve cold steam rice which they did last time when I was there and even after my complaint they didn't changed it.",Negative
157,"Food is good, nothing exceptional. But the PRICE IS UNBEARABLE. Its not even an INTERNATIONAL FRANCHISE for gods sake! It's more costly than WESTIN and RADDISON in some cases",Negative
158,The food seems to me quite okay and kids love also.,Negative
159,food quantity less but price is very high. food is not international standard.Location is good.,Negative
160,Went there two days after the Eid-ul-Azha. The food was not good at all. Specially the rice items were terrible. Their serving was very poor too. Overall - very poor service & food.,Negative
161,Taste of pizza was too bad............................��,Negative
162,"I had been there a few times .. May be its my taste buds, anyways I really enjoyed the Jamaican Grill, Veg Fried Rice, Green Apple Juice .. Excellent food comes with very friendly service .. Two thumbs up ..",Positive
163,Food is the best standard in bangladesh. Atmostfare is very polished. Service is excellent.,Positive
164,"The BOGO offer on wings is great. We had three flavors, all of which were good! Keep it up. :)",Positive
165,Very good interior decoration. good staff and services. Foods have different taste: Jamaican BBQ is really tasty though the Original BBQ is ok. Cream of mushroom is served in a round shaped bread; very tasty and has different looks. All other food are also well garnished and good in taste. Price is high. Front of the restaurant looks like a garage.,Positive
166,Simply it was really Good day With Good Food ....�������,Positive
167,Food very nice. They must concentrate more on their service during bit rush hours in areas like: 1. Serving glass when guests come. I had to call the waiter many times for water glasses. Upon calling they did their job. 2. Green salad portion can be increased a bit in quatity as per price.... 3. For a birthday celebration as booked earlier they should have arranged a small cake. All in all its good. Above points are just some personal comments.,Positive
168,Amount of food was very less in context of price. Food quality was average. They have wifi but didn't give us the password. (For Dhanmondi Branch),Negative
169,"Good food, not so good management! They need to train their employees.",Negative
170,Xoss place � Good atmosphere � I personally liked it �,Positive
171,"The food was the worst.though the service was quite good.we had the jamaican grill with rice.the rice was tasteless,grill was no good at all.",Negative
172,Taste: 2/10 Price: too much expensive An overrated restaurant it is!,Negative
173,Amazing foods Fantastic interior Well behaved waiters Thumbs up,Positive
174,Yesterday me with couple of my friends went there for ifter. The food was cold & may b pre cooked. The stuff's behavior was not friendly at all. We should have soft drinks with the packages but after giving the reminder of 3 times they didn't serve the drinks.,Negative
175,"one of the best bbq, grills in town...love their their sehri / iftar meals... their food seem fresh... although I'd like to see a lil improvement on their mashed potatoe. it's a bit on the runny side... it's taste more like porridge than mashed potatoe, which should be a bit thick and dense... other than that, its worth it. i love their Jamaican and korean bbq meals �",Positive
176,Due to too much of pressure for the Iftar maybe the quality wasn't up to the mark at all. Prome fritte was too bad. Otherwise it was always pleasant to go BBQ.,Negative
177,The worst F&B service I have ever experienced today. They deliver me like freezing food and even after complain they repeatedly change and deliver the same freezing food for three times. Totally screwed up for Gulshan 2 outlet. :(,Negative
178,I been there more times.. always satisfied with there services.. have a small place for Children play ..that is very supportive for little Child.,Positive
179,Well that was something,Positive
180,The food was good had an amazing experience :) would definitely recommend.,Positive
181,The iftar platter quantity wise wasnt up the standard of what you would find in the advertisments.,Negative
182,Iftar platter was too bad. The whole food was served cold. Rice was hard like hell. very disappointed with this iftar platter.,Negative
183,Iftari platters are disgusting. Just tried it yesterday at gulshan branch. Tasteless and we all wasted the foods.,Negative
184,"Went here today to have Ramadan Meal One (Jamaican grilled chicken) with my family...The meal was absolutely cold and the Jamaican grilled chicken, Chicken shashlik was hard!!! It was not delicious and filling meal at all, rather it was uneatable!!! I went there several times, but didn’t have this sort of experience before. If I knew that I have to eat this shit, I would have ordered the regular menu. It is absolutely cheating.",Negative
185,"Actually i don't usually write reviews because i am a serious critic and my level of criticism is way too high. But honestly i like your restaurant more than anything. Your Korean bbq, Jamaican bbq are amazing. Wherever i go, office, friends house, no matter i physically go to restaurant or not i order these food through foodpanda or my driver. I reside in uttara and i hope one day they will open branch here. 10/10 food quality.",Positive
186,"The food was good. Pasta was poor. But, the no of staff are very less. Can't manage. Don't visit there on Friday. There was almost none to check your requirements. Poor very poor. You pay a lot but you don't get even 20% of the service. Needs lots of improvement in terms of customer service.",Negative
187,Its my favourite place.��� Best!!!! Nothing can beat their mashed potato�,Positive
188,খাবার ভালোই ছিলো কিন্তু কিছুটা ঠান্ডা হয়ে গিয়েছিল এবং পরিমাণে কম ছিল।,Negative
189,"The place has upgraded the entry, security system. Have parking lot. Well spaced. A bit pricey, but perfect for quiet dinners. The food takes a little more time to serve. But the food is decent They greet their guests while entering, which i have to mention, which is nice.",Negative
190,"Package food on Pohela Boishak was really nice and delicious if I say personally. But the price of this package was not reasonable for all. Suggest that to increase the unit sales, price is to be reduced. Thanks",Negative
191,"One should never order a pizza in this place. It was just below average standard. Home mades are far better than this. Code F 14: They attarct you by writing 20 pieces, but they don't tell you it's only a full chicken. Taka 1465 is not worthy of the plate at any standard of bd, may it be a chain shop. Code GC10: Jamaican chicken was good. Soup was good and had its signature mark with taste. Nice place but congested. ... Parking is a problem as usual. Security guards are eager for tips but has little idea of guiding a vehicle to park.",Negative
192,I ordered kids meal for my baby.. and that chicken was smelling like a rotten egg... yaak!!.. and it was the second time that happened to me...they are so irresponsible... very unexpected...,Negative
193,Food quality is disgusting. Price .. oh no need bank loan to order a full meal,Negative
194,provide delicious food and amazing items. Really good.,Positive
195,Your design works and campaigns are not communicative.. You should have professional people to handle these... Your FB page page don't represent an international brand sorry to say... And don't you use Olive oil any more!!,Negative
196,For Jamaican Chicken I will visit there time and time :) #best_in_town,Positive
197,Great foods and environment. I love this place very much.,Positive
198,This is very good Place for family hangout.specially the play ground.and about food..It's really awesome &tasty.,Positive
199,"The food was really good.We ordered a lot of food.And enjoyed almost all the items.My favorite was the mushroom soup. The Korean Charbroil Chicken had a better taste than the well-known Jamaican Grill.It had a smokey,tender and juicy flavor which is an absolute treat to your taste buds.Perfectly hot and spicy.Had a great time with my family!",Positive
200,I've never had this franchise outside of Bangladesh. The food is good.I've been a few times and generally order the Jamaican Grill Chicken which is right and Mushroom soup to start. The ambience and decor is nice with dedicated areas for children's play and smokers balcony,Positive
201,"We tried four different pizza.all tasted almost same.no salt,no spice,thin crust.the chef should learn how to make pizza.the kiwi chiller just had syrup and sprite in it.not a single piece of kiwi was there.tastes was also not upto the mark. Overall sucks.not coming again.",Negative
202,The taste of food and the environment is awesome. Would love to be there again.,Positive
203,One of the best restaurant in the city . ... that all i can say .,Positive
204,Worst service. The waiters are very ill mannered. Never gonna come back,Negative
205,Jamaican bbq were too awesome.... nice environment... thank goes to bbq,Positive
206,Tasted the pane mushroom soup and the korean charbroiled chicken and they were a new experience for me.........as a foodie i look forward to go there again.,Positive
207,Nice place with delicious food . :),Positive
208,everything we took tasted good.4 star for the price which is a bit high.,Positive
209,Well it is indeed one of my favourite restaurants in Dhaka because of the super tasty chicken and mushroom cream soup. But if I mention about the valentine platter particularly it was not really up to the mark! As it it suppose to be for two people but the rice given is not really enough for two people. Then there's this unnecessary � shaped sandwich! But yes if you talk about the chickens & the pricing comparing to other chicken platters then it was good to go!,Positive
210,Overall good place with quality food...we'll go again��,Positive
211,"Went to Gulshan Branch yesterday. I usually like their food but yesterday's service was the poorest! I didn't get 10% discount on SCB credit card though my bill was above TK. 3,000! Had to asked them couple of time to provide the promotional coupon. Very much disappointed!",Negative
212,"good food, warm. Waiters needs to be more trained. The rest room should be clean.",Negative
213,I had the pasta and I think something was wrong with the prawns. I had food poisoning afterwards and was sick. I also asked for butter to put on the bread but they didn't have it. The play area and balloons were nice,Negative
214,Last time the foods test was too bad.i was the regular customer of bbq bt i feel slowly slowly the food test becoming low types...i m disappointed...,Negative
215,It was buy one get one offer on pizza. Pizza was disaster. Worst pizza I have ever had .,Negative
216,"went at dinner tonight at dhanmondi branch....food was good but I have question about the manners & etiquette of waiters. While I was waiting for my guest after reserving the seats, they asked me rudely as if my guest are coming or not they have other reservation (have to mention that only half an hour passed after I took the seats and half the reserved seats are filled already!!!). After challenging them why they didn't take my reservation earlier when I called, they started... to say they wanted the seats because some ppl just came and ask for seat (I don't see those reservation ppl coming at all that night)....in between the conservation, one waiter said they did 30k per day business as if I give a damn shit about it (30k per day!!! seriously!!! as a brand like yours.......com'on man so poor!!!). After ordering the starter and 1st round of order, they seemed surprised to ask us that 5 person and only 4 dishes!!! REALLY THIS IS THE WAY YOU BEHAVE WITH YOUR CUSTOMERS!!! If someone order food cost 200tk or 20000tk, both are your customers. You should give your staff proper lesson on manners then let them serve for your brand because its degrading the brand value.",Negative
217,"I've been to bbq in gulshan 2 numerous times and on each occasion I've been thoroughly pleased. The atmosphere is nice, waiters friendly, tables clean and food delicious. Without going into too much detail, 2 dishes can universally be recommended here, the pane mushroom soup and the korean charbroiled chicken. Whether you've been to bbq already or it would be your first time, you won't be disappointed with those 2 items.",Positive
218,Tastes up to the mark. Ambience at its best. Kids friendly.,Positive
219,The jamaican grilled platter is really good.,Positive
220,The food is great!,Positive
221,"bb.q is easily one of the restaurants in the top bracket of Dhaka due to its unparalleled taste, service and the ambience it provides for its customers. Definitely one of my top most go to places to grab a heart quenching meal.",Positive
222,"The jamaican grilled platter-do is amazing. The chicken is so juicy and the sides are so fresh. Bbq is definitely one of the best restaurants in Dhaka, undoubtedly. And if you dont like it, you probably eat trash. Lol I keep coming back again and again! The staff is super hospitable as well.",Positive
223,Great place for a meal. Really liked the Korean charboiled chicken and the Paris wings. The service was pretty great as well.,Positive
224,"Lol � love, reading the reviews here, like life stories. The food was great �.",Positive
225,The food is sooooo awesomeeee. Every time I went to this bbq only for the best cooked bbq special chicken.,Positive
226,"I don't understand why you don't inform your customers properly about your offers for them.it is really unexpected from a brand like you.you tell clearly the offer for pizza will be available on Saturday till further notice.but the truth is different.when we reach your dhanmondi branch after a long busy traffic,you say very easily the offer has ended without prior notice.this is how you serve your customer?don't know what is important to you?customer or profit?speechless... just now I saw some other reviews,I experienced you did the same with some other guests also.",Negative
227,Set menu was great But the drinks were horrible,Positive
228,"Environment is nice, food and prices terrible. Burger seems like only hot bread.",Negative
229,"..................... BPL 2016 Grand Final ..................... ................................... at ....................................... ...................... Friday, 9th December ..................... ........................... 01822-684 250 .......................... ***************************************************************... 1# Southern Stand =main price 600tk =asking price 800tk . 2# Shahid Mushtaque =main price 1000tk =asking price 1500tk . 3# VIP Grand Stand =main price 5000tk =asking price 5500tk . 4# Hospitality Box =main price 12000tk =asking price 15000tk . """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" N.B : few tickets are available.......!! . hotline : 01822-684 250",Positive
230,I just love your food :D Keep it up !!! Your korean charbroiled is excellent,Positive
231,Just loved d quality food...... BBQ & combination pizza were amazing....���..... with my favourite raspberry smoothie ������,Positive
232,"Very tasty food, clean and decent. I love this place.",Positive
233,Love ur...Pizzas...........especially Korean charbroiled pizza,Positive
234,Bit overpriced compared to their taste.Also the interior of dhanmondi branch is nothing special.,Negative
235,One of my favorite place for having lunch and their value meals are great !! ��,Positive
236,Not up to the mark service... Waiters insisting having certain items from the menu... Not quality food... n irrational price range!!! Disappointing......,Negative
237,"In one word just ""AWESOME""",Positive
238,"Food was ok but they robbed me by including items in the bill which I have not ordered and did not receive; I went to the cashier and before paying I have told him that I have not ordered this but he says its been billed and he is ""feeling dukkhito"" for this. I had an argument with the manager and was expecting something complimentary but he was also ""feeling dukkhito"" and said will consider me with good service next time as if I am a beggar to beg them for money or anything. I told them you all stole money and that's wrong and I don't live abroad so it does not matter whatever you do next time. VERY DISAPPOINTED WITH THEM AND WILL NEVER COME BACK WHEN I AM IN BANGALDESH.",Negative
239,First of all foods are very delicious and also nice location. But I don't understand why they charged too much.,Positive
240,Dhanmondi branch has the worst quality of food and the worst food quality of customer service. I have never been through such a horrible experience before. And that horrible experience incurred at a very high price. Will never visit again.,Negative
241,"I really like their food especially Jamaican chicken, korean charboiled chicken and pane mushroom soup. I go there atleast once a week. I recently went to the Dhanmondi branch and it was quite a let down compared to Gushan 2 branch. The soup wasn't creamy enough, the music was pretty loud etc etc. I much prefer the Gushan branch and I guess the chef here is the actual chef whose food made me fall in love with bbq!",Positive
242,love this place from service to food everything was so perfect.....,Positive
243,"Love bbw bangladesh's food. Good portions, great taste. Satisfied!",Positive
244,pizza wass gud bt sft drinks price wass to muchh highhh >_<,Negative
245,"The food is amazing, loved the sitting arrangements & it has got the best mocha ��",Positive
246,Food was over priced and not up to the mark in taste! If you are going to charge that much the least you can do is to improve your cooking! The pasta was runny ?!?!???,Negative
247,Not good at all....................................,Negative
248,"I went to Bailey road branch. The pizza is so poor i felt it was just robbery. The cheese was very thin and the bread was thin too. The topping was also very low in quantity. It felt like , i am having a ruti with some vaji :p The behaviour was good though and that's why i am giving 2 star. Never going to try again unless the food quality improves.",Negative
249,"Today we had the most awful experience at BbQ Dhanmondi branch. They have been offering the 50% discount on beverage and i liked their frappe everytime so went their tonight as it was the last night. And even though we had called at their number and verified that the store was open they denied to serve us the frappes! Not ony that, after providing us the menue the waiter was taking a while to come back. I found that the waiter and the manager was solving a dispute with ano...ther client. So called another younger waiter who was walking towards the table then the other waiter made him stop. He literally stoped him coming towards us and then he took another 5mins to solve the dispute.then this waiter and the manager had another chat, more like whispered in the years then they both came to tell they cannot serve the Frappe!!! They said they ran out of all ingredients! They literally didn't want to make the drinks as it was close to the closing time. They has an offer going on and it cannot be that they ran out of every single ingredients of all the drinks!! Even though we had said we didn't want anything else at all that being an International Chain they should be serving us they denied us completely!! I should also mention we went to the Dhanmondi branch just this friday night and the pizza was terrible too!!! It was nothing like the Gulshan branch pizza. Really really disappointed by this ignorant attitude and i doubt i will ever go back.",Negative
250,Good environment with good food. I m loving it. Go ahead,Positive
251,"Good food, friendly service -- what more to expect!",Positive
252,Soft drink 99+vat . :( It is too expensive. Others,Negative
